question_id,question,option_A,option_B,option_C,option_D,correct_option,correct_text
200220,Câu 20. He was said _________ this building.,A. designing,B. to have designed,C. to design,D. designed,,
200221,Câu 21. Ted _________ by a bee while he was sitting in the garden.,A. got sting,B. got stung,C. get stung,D. gets stung,,
200222,Câu 22. These tennis courts don’t _________ very often. Not many people want to play.,A. got used,B. used,C. get used,D. get use,,
200223,Câu 23. I’ll get Minh _________ this for you.,A. do,B. done,C. did,D. to do,,
200224,Câu 24. Those letters _________ now. You can do the typing later.,A. need typing,B. needn't be typed,C. need to type,D. D . needn't typing,,
200225,"Câu 25. “What a beautiful dress you are wearing”- “thanks, it_________ especially for me by a French tailor.”",A. is made,B. has made,C. made,D. was made,,
200226,Câu 26. Somebody cleans the room every day.,A. The room everyday is cleaned.,B. The room is every day cleaned.,C. The room is cleaned every day.,D. The room is cleaned by somebody every day.,,
200227,Câu 27. People don’t use this road very often.,A. This road is not used very often.,B. Not very often this road is not used.,C. This road very often is not used.,D. This road not very often is used.,,
200228,Câu 28. How do people learn languages?,A. How are languages learned?,B. How are languages learned by people?,C. How languages are learned?,D. Languages are learned how?,,
200229,"Câu 29. Over 1500 new houses _______ each year. Last year, 1720 new houses _______.",A. were built / were built,B. are built / were built,C. are building / were built,D. were built / were being built,,
200230,Câu 30. Tom bought that book yesterday.,A. That book was bought by Tom yesterday.,B. That book was bought yesterday by Tom.,C. That book yesterday was bought by Tom.,D. That book was bought yesterday.,,
199431,Câu 1: I saw it ____ TV.,A. in,B. on,C. at,,,
199432,Câu 2: I’m going to my cousin’s house ______ Saturday.,A. in,B. on,C. at,,,
199433,Câu 3: How much milk would you like ____ your tea?,A. in,B. on,C. at,,,
199434,Câu 4: His death was announced ______ the radio.,A. in,B. on,C. at,,,
199435,Câu 5: I arrived just ______ time for my flight.,A. in,B. on,C. at,,,
199436,Câu 6: It left exactly ____ time.,A. in,B. on,C. at,,,
199437,Câu 7: He's sitting ____ the bar.,A. in,B. on,C. at,,,
199438,Câu 8: He's ____ his desk working.,A. in,B. on,C. at,,,
199439,Câu 9: I think it's ____ this tape.,A. in,B. on,C. at,,,
199440,Câu 10: Please bear it ___ mind.,A. in,B. on,C. at,,,
153012,Câu 1. Someone ____ my wallet on the train to work.,A. robbed,B. stole,,,,
153013,Câu 2. I was attacked and ____ last night.,A. robbed,B. stolen,,,,
153014,Câu 3. My car was ____; they took the CD player.,A. robbed,B. stolen,,,,
153015,Câu 4. The insurance company have provided a courtesy car because hers was ____.,A. robbed,B. stolen,,,,
153016,Câu 5. The bank was ____.,A. robbed,B. stolen,,,,
153017,Câu 6. Thieves ____ a Van Gogh painting from the museum last night.,A. robbed,B. stolen,,,,
153018,Câu 7. He's been accused of ____ from his company.,A. robbed,B. stolen,,,,
153019,Câu 8. The thief ____ thousand of Euros from the store.,A. robbed,B. stolen,,,,
153020,Câu 9. Who do you think ____ you?,A. robbed,B. stolen,,,,
153021,Câu 10. The robbers ____ millions of pounds.,A. robbed,B. stolen,,,,
153002,"Câu 1. Ann, __________ for the safety of her child, ran to stop him playing with the electric socket.",A. concerned,B. concerning,C. to concern,D. to be concerned,,
153003,Câu 2. The police are searching the area __________ the boy was last seen.,A. which,B. where,C. that,D. how,,
153004,"Câu 3. As a retired person, the place in __________ my mother spends the most time is the garden.",A. that,B. what,C. which,D. where,,
153005,"Câu 4. Everyone at the meeting yesterday, __________ proved very constructive, showed their support for the new stadium.",A. which,B. where,C. what,D. when,,
153006,"Câu 5. Liquorice, __________ contains clycyrrhetic acid, was a favourite ingredient of ancient Egyptian medicines.",A. who,B. which,C. when,D. where,,
153007,Câu 6. The reason __________ she gave us for not coming early made us disappointed.,A. why,B. for which,C. that,D. what,,
153008,Câu 7. They would like a teacher __________ native language is English.,A. who,B. from whom,C. whom,D. whose,,
153009,Câu 8. His new job is near enough __________ he wants to live.,A. where,B. in which,C. to where,D. on which,,
153010,Câu 9. This is Mrs. Belinda __________ book the chapters were prepared and edited perfectly.,A. in which,B. in whose,C. from whose,D. whose,,
153011,Câu 10. Our course needs some requirements __________ are listed here.,A. which,B. when,C. what,D. where,,
6592,Câu 1: Gary is very busy with his job. He has _____ time for other things.,A. little,B. a little,C. few,D. a few,,
6593,Câu 2: Listen carefully. I'm going to give you _____ advice.,A. little,B. a little,C. few,D. a few,,
6594,Câu 3: Do you mind if I ask you _____ questions?,A. little,B. a little,C. few,D. a few,,
6595,"Câu 4: It' s not a very interesting place to visit, so _____ tourists come here.",A. little,B. a little,C. few,D. a few,,
6596,Câu 5: I don't think Jill would be a good teacher. She's got _____ patience.,A. little,B. a little,C. few,D. a few,,
6597,"Câu 6: “Would you like milk in your coffee?” 'Yes, _____ .'",A. little,B. a little,C. few,D. a few,,
6598,Câu 7: This is a very boring place to live. There's _____ to do.,A. little,B. a little,C. few,D. a few,,
6599,"Câu 8: 'Have you ever been to Paris?' 'Yes, I've been there _____ times.",A. little,B. a little,C. few,D. a few,,
6600,Câu 9: She isn't very popular. She has _____ friends.,A. little,B. a little,C. few,D. a few,,
6601,Câu 10: Ann is very busy these days. She has _____ free time.,A. little,B. a little,C. few,D. a few,,
6562,Câu 1: Children usually begin to go to _____ school at ______ age of six.,"A. the, the","B. a, a","C. ___, the","D. the, a",,
6563,Câu 2: Finally we got to ______ house where our grandfather and grandmother had once lived.,A. the,B. an,C. x,D. a,,
6564,Câu 3: Sam is _______ man to speak at the conference tomorrow.,A. x,B. a,C. the,D. an,,
6565,Câu 4: Birds can fly in _________ sky.,A. an,B. the,C. x,D. a,,
6566,Câu 5: All work had to be done by _____ hand when there were no modern machines.,A. an,B. the,C. x,D. a,,
6567,Câu 6: She is _______ tallest girl in the school.,A. a,B. an,C. the,D. x,,
6568,"Câu 7: Where is ______ pretty, pink sweater I bought last week?",A. a,B. an,C. the,D. x,,
6569,Câu 8: I want to see _______ movie. I don't care which one we see. I just want to get out of the house tonight.,A. a,B. an,C. the,D. x,,
6570,Câu 9: Can you play _______ piano?,A. a,B. an,C. the,D. x,,
6571,Câu 10: Do you like _______ my new glasses?,A. a,B. an,C. the,D. x,,
6572,Câu 11: I want to introduce you to Sharon. She is _____ very nice person.,A. a,B. an,C. the,D. x,,
6573,Câu 12: She needs ________ water. She is really thirsty.,A. a,B. an,C. the,D. x,,
6574,Câu 13: Canada is one of ________ biggest countries in the world.,A. a,B. an,C. the,D. x,,
6575,Câu 14: Quick! Someone call _____ police. I need help right now.,A. a,B. an,C. the,D. x,,
6576,Câu 15: Do you like _______ my wedding dress?,A. a,B. an,C. the,D. x,,
6577,Câu 16: I need ______ new computer. I'm going to the electronics' store to pick one out today.,A. a,B. an,C. the,D. x,,
6578,Câu 17: I want to have ______ apple for ______ lunch.,"A. a, the","B. an, x","C. the, x","D. x, x",,
6579,Câu 18: ___Grand hotel is in ___ Baker Street.,"A. ___, ___","B. the, the","C. the, ___","D. ___, the",,
6580,Câu 19: Can you give me ______ little more information about the house?,A. a,B. an,C. the,D. x,,
6581,"Câu 20: I like ________ beautiful, brown coffee table in your living room. Where did you buy it?",A. a,B. an,C. the,D. x,,
6582,"Câu 21: The largest landmass is divided into two ""continents"" along _____ Ural mountains.",A. an,B. the,C. x,D. a,,
6583,Câu 22: There are only _____ few mistakes in your composition. Don't make _____ same ones any more.,"A. the, the","B. a, a","C. ___, ___","D. a, the",,
6584,Câu 23: What _____ day we are having today!,A. an,B. the,C. x,D. a,,
6585,Câu 24: Lisa met one of her old friends on his way _____ home from Vancouver.,A. a,B. an,C. the,D. x,,
6586,Câu 25: Spring is ____ best season of the year. Autumn is _____ busy season.,"A. the, a","B. a, a","C. a, the","D. the, the",,
6587,Câu 26: My girl friend bought ______ dress ______ last weekend.,"A. a, the","B. the, the","C. a, ___","D. the, a",,
6588,Câu 27: Kent always have _____ lunch in a restaurant.,A. x,B. the,C. a,D. an,,
6589,Câu 28: Wendy is ______ eleven-year-old girl.,A. a,B. the,C. an,D. x,,
6590,Câu 29: _____ sun and the moon both set in ____ west.,"A. the, the","B. x, x","C. x, the","D. the, x",,
6591,Câu 30: I will keep ____ eye on the baby when its father is away.,A. an,B. much,C. the,D. one,,
6532,Câu 1: Mrs. Lan went to ______ school to meet her son's teacher.,A. x,B. a,C. an,D. the,,
6533,Câu 2: The workmen went to ______ church to repair the roof.,A. x,B. the,C. a,D. an,,
6534,Câu 3: Carol went to ______ prison to meet her brother.,A. the,B. a,C. an,D. x,,
6535,Câu 4: This morning I bought a newspaper and a magazine______ newspaper is in my bag but I don't know where______ magazine.,A. a/ a,B. a/ the,C. the/ the,D. the/ a,,
6536,Câu 5: My parents have ______ cat and ______ dog. The dog never bites the cat.,A. a/ a,B. a/ the,C. the/ the,D. the/ a,,
6537,Câu 6: We live in ______ big house in ______ middle of the village.,A. a/ a,B. a/ the,C. the/ the,D. the/ a,,
6538,Câu 7: I'm looking for ____ job. Did Mary get_____ job she applied for?,A. a/ the,B. the/ a,C. a/ a,D. the/ the,,
6539,Câu 8: Did______ police find ______ person who stole your bicycle?,A. a/ a,B. the/ the,C. a/ the,D. the/ a,,
6540,Câu 9: We went out for ______ meal last night ______ restaurant we went was excellent.,A. a/ a,B. the/ the,C. a/ the,D. the/ a,,
6541,"Câu 10: As I was walking along the street, I saw ______$10 note on ______ pavement.",A. a/ a,B. the/ the,C. a/ the,D. the/ a,,
6542,Câu 11: The Soviet Union was______ first country to sent a man into ______ space.,A. the/ the,B. no article / no article,C. no article / the,D. the/ no article,,
6543,"Câu 12: Did you watch ""Titanic"" on ______ television or at______ cinema?",A. the/ the,B. no article/ no article,C. no article/ the,D. the/ no article,,
6544,"Câu 13: After______ lunch, we went for a walk by ______ sea.",A. the/ the,B. no article/ no article,C. no article/ the,D. the/ no article,,
6545,Câu 14: Peru is______ country in south America______ capital is Lima.,A. a/ a,B. a/ the,C. the/ the,D. the/ a,,
6546,Câu 15: I never listen to ______ radio. In fact I haven't got ______ radio.,A. a/ a,B. a/ the,C. the/ the,D. the/ a,,
6547,Câu 16: It was a beautiful day______ sun shone brightly in ______ sky.,A. a/ a,B. a/ the,C. the/ the,D. the/ a,,
6548,Câu 17: It is said the Robinhood robbed______ rich and gave the money to ______ poor.,A. a/ a,B. a/ the,C. the/ the,D. the/ a,,
6549,Câu 18: Life is not so easy for______ unemployed.,A. the,B. a,C. an,D. no article,,
6550,Câu 19: Many people were killed in the accident. The bodies of ______ dead were taken away.,A. the,B. a,C. an,D. no article,,
6551,Câu 20: Lan has been a nurse all her life. She has spent her life caring for ______ sick.,A. the,B. a,C. an,D. x,,
6552,Câu 21: There was _______ piano in the corner of the room.,A. a,B. an,C. x,D. the,,
6553,Câu 22: It is fun to learn English on _______ computer.,A. a,B. an,C. x,D. the,,
6554,Câu 23: Are they _________ students?,A. a,B. an,C. x,D. the,,
6555,Câu 24: Have you ever been to _______ British Museum.,A. a,B. an,C. x,D. the,,
6556,Câu 25: We only have _______ hour to complete the test.,A. a,B. an,C. x,D. the,,
6557,Câu 26: ______ Hyde Park is a very large park in central London.,A. a,B. an,C. x,D. the,,
6558,Câu 27: I would like _______ rice with my curry.,A. a,B. an,C. x,D. the,,
6559,Câu 28: He is ______ English man.,A. a,B. an,C. x,D. the,,
6560,Câu 29: He is ________ English.,A. a,B. an,C. x,D. the,,
6561,Câu 30: We may have ______ look at the magazines?,A. x,B. a,C. the,D. an,,
6502,Câu 1: ................. swimming is .................. good sport.,A. the/ X,B. X/ a,C. the/ the,D. X/ the,,
6503,Câu 2: Please open ..................door.,A. a,B. an,C. the,D. x,,
6504,Câu 3: ................United States is ...................world's biggest consumer of energy.,A. the/ X,B. X/ a,C. the/ the,D. X/ the,,
6505,"Câu 4: Peter likes to play ...................volleyball, but he is not.................. good player.",A. the/ X,B. X/ a,C. the/ the,D. X/ the,,
6506,Câu 5: My daughter is learning to play..................violin at .................. school.,A. the/ X,B. X/ a,C. the/ the,D. X/ the,,
6507,Câu 6: I told Mom we would be ...................home in ...................hour or so.,A. the/ X,B. X/ an,C. the/ the,D. X/ a,,
6508,Câu 7: You can see .................. moon in .................. sky at .................. nigh.,A. a/ X/ the,B. the/ the/ X,C. X/ X/ X,D. X/ X/ the,,
6509,Câu 8: ...................her children play in .................. street all day.,A. the/ X,B. X/ a,C. the/ the,D. X/ the,,
6510,Câu 9: ................. blue is .................. color I like.,A. the/ X,B. X/ a,C. the/ the,D. X/ the,,
6511,Câu 10: ..............January is ...................first month of the year.,A. the/ X,B. X/ a,C. the/ the,D. X/ the,,
6512,Câu 11: You frequently see this kind of violence on .................. television.,A. a,B. an,C. the,D. x,,
6513,Câu 12: ............AIDS is .................. incurable disease.,A. the/ an,B. X/ an,C. the/ the,D. X/ the,,
6514,Câu 13: Not everyone believes that ..................technology has improved .................. quality of people's lives.,A. the/ X,B. X/ a,C. the / the,D. X/ the,,
6515,Câu 14: Sue works as .................. teacher in ...................school for .................. blind in Ireland. ........school has over a thousand pupils.,A. a/ X/ the/ the,B. the/ the/ the/ the,C. the/ X/ the/ the,D. a/ a/ the/ the,,
6516,Câu 15: Would you show me ................... shortest way to …………. airport,A. the/ X,B. X/ a,C. the/ the,D. X/ the,,
6517,Câu 16: He went to ……….. England and bought ...........house in .........London.,A. X/ X/ the,B. the/ a/ X,C. X/ X/ X,D. X/ a/ X,,
6518,"Câu 17: He understands …….... French, but he speaks it badly.",A. a,B. an,C. the,D. x,,
6519,"Câu 18: It is estimated that about 640 women remain illiterate in ............ world, mostly in developing countries.",A. a,B. an,C. the,D. x,,
6520,Câu 19: Did you read ............book I lent you ............ last week.,A. a/ the,B. the/ the,C. the/ X,D. X/ X,,
6521,Câu 20: ...........big books on ...........table are for my history class.,A. the/ X,B. X/ the,C. the/ the,D. X/ X,,
6522,Câu 21: I would live to live by _____ sea.,A. the,B. a,C. an,D. x,,
6523,Câu 22: Harry is a sailor. He spends most of his life at ______ see.,A. a,B. an,C. the,D. x,,
6524,Câu 23: There are billions of stars in ______ space.,A. a,B. an,C. x,D. the,,
6525,Câu 24: He tried to park his car but______ space wasn't big enough.,A. the,B. a,C. an,D. x,,
6526,Câu 25: We often watch______ television.,A. the,B. a,C. an,D. x,,
6527,"Câu 26: Can you turn off______ television, please?",A. the,B. a,C. an,D. x,,
6528,Câu 27: We had______ dinner in a restaurant.,A. a,B. an,C. x,D. the,,
6529,Câu 28: We had______ meal in a restaurant.,A. a,B. an,C. the,D. x,,
6530,Câu 29: Thank you. That was ______ very nice lunch.,A. a,B. an,C. the,D. x,,
6531,Câu 30: Where can______ people buy everything they need?,A. the,B. a,C. an,D. x,,
6472,Câu 1: Jason's father bought him ............ bicycle that he had wanted for his birthday.,A. a,B. an,C. the,D. x,,
6473,Câu 2: ....... Statue of Liberty was a gift of friendship from France to ............ United States.,A. the/ X,B. X/ the,C. the/ the,D. X/ X,,
6474,Câu 3: Rita is studying........... English and ...........math this semester.,A. the/ X,B. X/ the,C. the/ the,D. X/ X,,
6475,Câu 4: Please give me ...........cup of coffee with........... cream and ........... sugar.,A. a/ X/ X,B. a/ the/ the,C. X/ X/ X,D. X/ X/ a,,
6476,"Câu 5: When you go to........... store, please buy........... bottle of ...........chocolate milk and........... dozen oranges.",A. a/ X/ X/ a,B. a/ the/ the/ a,C. the/ the/ X/ a,D. the/ a/ X/ a,,
6477,Câu 6: John and Mary went to........... school yesterday and then studied in ........... library before returning home.,A. the/ X,B. X/ the,C. the / the,D. X/ X,,
6478,Câu 7: There are only ...........few seats left for …………… tonight's musical at ...........university.,A. a/ X/ the,B. a/ the/ the,C. X/ X/ X,D. X/ X/ a,,
6479,Câu 8: ...........Lake Erie is one of five Great Lakes in ........... North America,A. a/ X/ the,B. a/ the/ the,C. X/ X/ X,D. X/ X/ a,,
6480,Câu 9: What did you eat for........... breakfast this morning.,A. a,B. an,C. the,D. x,,
6481,Câu 10: Louie played.......... basketball and.......... baseball&nbsp; at&nbsp; ..........Boy’s&nbsp; Club this year.,A. a/ X/ the,B. a/ the/ the,C. a/ the/ the,D. X/ X/ a,,
6482,Câu 11: Rita plays .......... violin and her sister plays .......... guitar.,A. the/ X,B. the/ a,C. the/ the,D. X/ X,,
6483,Câu 12: David attended .......... Princeton University.,A. a,B. an,C. the,D. x,,
6484,Câu 13: Harry has been admitted to ..........School of Medicine at .......... Midwestern university.,A. the/ X,B. the / a,C. the/ the,D. X/ X,,
6485,Câu 14: Phil can't go to .......... movies tonight because he has to write .......... essay.,A. X / the,B. the/ X,C. the/ the,D. X/ X,,
6486,Câu 15: Last night there was .......... singing outside my house.,A. a,B. an,C. the,D. x,,
6487,Câu 16: ......... chair which you are sitting in is broken.,A. a,B. an,C. the,D. x,,
6488,"Câu 17: Every year, thousands of tourists visit ……... Nile River.",A. a,B. an,C. the,D. x,,
6489,Câu 18: Scientists sent ............ expedition to ............ Mars during .......... 1990s.,A. an/ X/ the,B. an/ the/ the,C. X/ X/ the,D. X/ X/ X,,
6490,"Câu 19: Mel's grandmother is in........... hospital,&nbsp; so we went to visit her ............&nbsp; last night.",A. the/ X,B. X/ the,C. the/ the,D. X/ X,,
6491,"Câu 20: I'm on night duty. When you go to ..............bed, I go to ............ work.",A. the/ X,B. X/ the,C. the/ the,D. X/ X,,
6492,"Câu 21: Sorry, I can't find the number. I remember writing it on ............. back of an envelop.",A. a,B. an,C. the,D. x,,
6493,Câu 22: .................gold is perhaps .............. most highly treasured metal.,A. the/ X,B. X/ the,C. the/ the,D. X/ X,,
6494,Câu 23: ................ Mekong River is .............longest river in.................... Vietnam.,A. the/ X/ the,B. the/ the/ the,C. X/ X/ the,D. the/ the/ X,,
6495,"Câu 24: .............. winter is usually cold, but .................. winter of this year is warm.",A. the/ X,B. X/ the,C. the/ the,D. X/ X,,
6496,Câu 25: ..................&nbsp;&nbsp;&nbsp; money&nbsp;&nbsp;&nbsp; you&nbsp;&nbsp;&nbsp; gave&nbsp;&nbsp;&nbsp; me&nbsp;&nbsp;&nbsp; is&nbsp;&nbsp;&nbsp; not&nbsp;&nbsp;&nbsp; enough&nbsp;&nbsp;&nbsp; to&nbsp;&nbsp;&nbsp; buy ..................bicycle.,A. the/ X,B. X/ the,C. the/ the,D. X/ X,,
6497,Câu 26: Look at.................. sun. It is rising.,A. a,B. an,C. the,D. x,,
6498,Câu 27: We watch television after .................. dinner.,A. a,B. an,C. the,D. x,,
6499,Câu 28: Mr. Brown bought ..............new car ..................last week.,A. an/ X,B. a/ X,C. the/ the,D. X/ X,,
6500,Câu 29: He usually travels to..................Philadelphia by.................. train.,A. the/ X,B. X/ the,C. the/ the,D. X/ X,,
6501,Câu 30: Miss Linda speaks.................. Chinese very well although she&nbsp; is&nbsp; from......... UK.,A. the/ X,B. X/ the,C. the/ the,D. X/ X,,
6442,Câu 1: ........ starts at seven o’clock.,A. School,B. A school,C. The school,D. The schools,,
6443,Câu 2: We can finish the rest of the bread for ......... breakfast.,A. a,B. an,C. the,D. x,,
6444,Câu 3: We need to protect ....... environment from pollution.,A. some,B. a,C. an,D. the,,
6445,Câu 4: We often go to school by ........ bicycle.,A. some,B. a,C. an,D. the,,
6446,Câu 5: I need ....... time to think about ........... offer you made me.,A. the/ the,B. a/ the,C. x/ an,D. a/ the,,
6447,Câu 6: ...... book you ordered .......... last week is now in stock.,A. the/ X,B. a/ the,C. X/ an,D. X/ the,,
6448,Câu 7: ........ dancing is ......... more interesting activity than &nbsp;.......... reading.,A. X/ X/ X,B. The/ a/ the,C. X/ a/ X,D. X/ the/ X,,
6449,Câu 8: ..... recipe for ......... success is &nbsp;.......... hard work.,A. The/ X/ X,B. The/ a/ the,C. X/ a/ X,D. X/ the/ X,,
6450,Câu 9: ......... people who live in&nbsp; ..... glass houses shouldn’t throw stones.,A. the/ X,B. the/ the,C. X/ X,D. X/ the,,
6451,"Câu 10: I &nbsp;have two brothers: ...... older one is training to be ........ pilot with British Airways, ....... younger one is still at &nbsp;....... school.",A. The/ X/ the/ X,B. The/ a/ the/ X,C. an/ a/ the/ X,D. the/ the/ the/ X,,
6452,Câu 11: I won’t be &nbsp;home for ..... dinner this evening. I’m meeting some friends after .... work and we’re going to ...... cinema.,A. The/ X/ X,B. X/ the/ the,C. X/ X/ the,D. X/ the/ X,,
6453,Câu 12: Danny wanted ........... new bicycle for Christmas.,A. a,B. an,C. the,D. x,,
6454,Câu 13: Jennifer tasted ........ birthday cake her mother had made.,A. a,B. an,C. the,D. x,,
6455,Câu 14: The children have ........ new teacher called Mr. Green.,A. a,B. an,C. the,D. x,,
6456,Câu 15: Dad turned on ...... radio to listen to ......... news.,A. a/ a,B. a/ the,C. the/ the,D. the/ a,,
6457,Câu 16: Alex is in Boston studying for .... MBA.,A. a,B. an,C. the,D. x,,
6458,Câu 17: The teacher read ........ interesting article from the newspaper.,A. a,B. an,C. the,D. x,,
6459,Câu 18: There was .......... huge crowd of people outside the church.,A. a,B. an,C. the,D. x,,
6460,Câu 19: Julie talked for ......... hour about her school project.,A. a,B. an,C. the,D. x,,
6461,Câu 20: ......... European expert was invited to speak to the committee.,A. a,B. an,C. the,D. x,,
6462,Câu 21: The Mississippi river is in ........ United States of America.,A. a,B. an,C. the,D. x,,
6463,Câu 22: It would help us if you gave ..... honest opinion.,A. a,B. an,C. the,D. x,,
6464,Câu 23: I like .... blue T-shirt over there better than ......... red one.,A. a/a,B. the/the,C. the/a,D. x/x,,
6465,Câu 24: Their car does 150 miles ..... hour.,A. a,B. an,C. the,D. x,,
6466,Câu 25: Where's ...... USB drive I lent you last week?,A. a,B. an,C. the,D. x,,
6467,Câu 26: Do you still live in ......... Bristol?,A. a,B. an,C. the,D. x,,
6468,Câu 27: Carol's father works as ......... electrician.,A. a,B. an,C. the,D. x,,
6469,Câu 28: The tomatoes are 99 pence .......... kilo.,A. a,B. an,C. the,D. x,,
6470,Câu 29: What do you usually have for ......... breakfast?,A. a,B. an,C. the,D. x,,
6471,Câu 30: Ben has ........... terrible headache.,A. a,B. an,C. the,D. x,,
6412,Câu 1: The Liaos often have ....... dinner at home but last Sunday they had ........... good dinner at a restaurant.,"A. Ø, a","B. Ø, Ø","C. a, a","D. a, Ø",,
6413,"Câu 2: In the afternoon ......... heavy&nbsp; snow began to fall. Soon ....... streets were&nbsp; covered with&nbsp;....... snow.&nbsp; The poor little girl walked in .......... snow, cold&nbsp; and hungry.","A. Ø, Ø, Ø, Ø","B. a, the, the, Ø","C. the, the, Ø, the","D. a, the, the, the",,
6414,"Câu 3: It was... night, but... street was brightly lit.","A. the, the","B. the, a","C. the, an","D. x, the",,
6415,Câu 4: I was surprised at ... readiness with which she agreed to my suggestion.,A. a,B. an,C. the,D. x,,
6416,Câu 5: My father's hours became more irregular; sometimes he stayed&nbsp; in... house in .... morning and sometimes both he and my mother were out all ……day.,"A. a, Ø, Ø","B. the, Ø, the","C. Ø, the, the","D. the, the, Ø",,
6417,Câu 6: I have... great admiration for him.,A. a,B. an,C. the,D. x,,
6418,Câu 7: I'll tell you all about it... tomorrow night.,A. a,B. an,C. the,D. x,,
6419,Câu 8: He was... bachelor with... small income.,"A. the, the","B. the, a","C. a, a","D. Ø, the",,
6420,Câu 9: He was afraid he would be late for... lunch.,A. a,B. an,C. the,D. x,,
6421,Câu 10: She made... long telephone call from... lobby and ate... quick lunch.,"A. a, Ø, Ø","B. the, Ø, the","C. a, the, the","D. a, the, a",,
6422,Câu 11: I want .... apple from that basket.,A. a,B. an,C. the,D. x,,
6423,Câu 12: Miss Lin speaks ....... Chinese.,A. a,B. an,C. the,D. x,,
6424,"Câu 13: One of the students said, “ ........ professor is late today”",A. a,B. an,C. the,D. x,,
6425,Câu 14: Eli likes to play ....... volleyball.,A. a,B. an,C. the,D. x,,
6426,Câu 15: I bought ......... umbrella to go out in the rain.,A. a,B. an,C. the,D. x,,
